Epoch 1/20, Train Loss: 1.4663, Test Loss: 0.7459, Accuracy: 77.44%
Epoch 2/20, Train Loss: 0.6140, Test Loss: 0.4388, Accuracy: 86.59%
Epoch 3/20, Train Loss: 0.4548, Test Loss: 0.3378, Accuracy: 89.75%
Epoch 4/20, Train Loss: 0.3853, Test Loss: 0.2973, Accuracy: 90.77%
Epoch 5/20, Train Loss: 0.3257, Test Loss: 0.2674, Accuracy: 91.43%
Epoch 6/20, Train Loss: 0.2905, Test Loss: 0.2555, Accuracy: 92.20%
Epoch 7/20, Train Loss: 0.2615, Test Loss: 0.2334, Accuracy: 92.77%
Epoch 8/20, Train Loss: 0.2319, Test Loss: 0.2194, Accuracy: 93.19%
Epoch 9/20, Train Loss: 0.2124, Test Loss: 0.2110, Accuracy: 93.34%
Epoch 10/20, Train Loss: 0.1917, Test Loss: 0.1950, Accuracy: 93.82%
Epoch 11/20, Train Loss: 0.1842, Test Loss: 0.2126, Accuracy: 93.49%
Epoch 12/20, Train Loss: 0.1699, Test Loss: 0.1927, Accuracy: 93.88%
Epoch 13/20, Train Loss: 0.1534, Test Loss: 0.1795, Accuracy: 94.26%
Epoch 14/20, Train Loss: 0.1460, Test Loss: 0.1788, Accuracy: 94.17%
Epoch 15/20, Train Loss: 0.1328, Test Loss: 0.1812, Accuracy: 94.47%
Epoch 16/20, Train Loss: 0.1307, Test Loss: 0.1835, Accuracy: 94.53%
Epoch 17/20, Train Loss: 0.1148, Test Loss: 0.1755, Accuracy: 94.53%
Epoch 18/20, Train Loss: 0.1111, Test Loss: 0.1747, Accuracy: 94.62%
Epoch 19/20, Train Loss: 0.1099, Test Loss: 0.1742, Accuracy: 94.53%
Epoch 20/20, Train Loss: 0.0925, Test Loss: 0.1746, Accuracy: 94.50%
