Epoch 1/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 1.9485, Test Loss: 1.3600, Accuracy: 64.48%
Epoch 2/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.9597, Test Loss: 0.7818, Accuracy: 76.22%
Epoch 3/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.6555, Test Loss: 0.5977, Accuracy: 80.00%
Epoch 4/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.5410, Test Loss: 0.4863, Accuracy: 84.01%
Epoch 5/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.4317, Test Loss: 0.4353, Accuracy: 85.64%
Epoch 6/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.3857, Test Loss: 0.3987, Accuracy: 86.45%
Epoch 7/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.3376, Test Loss: 0.3638, Accuracy: 88.20%
Epoch 8/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.3025, Test Loss: 0.3608, Accuracy: 88.49%
Epoch 9/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.2687, Test Loss: 0.3463, Accuracy: 88.72%
Epoch 10/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.2703, Test Loss: 0.3297, Accuracy: 90.00%
Epoch 11/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.2376, Test Loss: 0.3091, Accuracy: 90.29%
Epoch 12/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.2086, Test Loss: 0.3128, Accuracy: 90.00%
Epoch 13/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.2057, Test Loss: 0.3084, Accuracy: 90.47%
Epoch 14/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.1962, Test Loss: 0.2987, Accuracy: 90.76%
Epoch 15/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.1647, Test Loss: 0.2981, Accuracy: 91.05%
Epoch 16/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.1564, Test Loss: 0.2824, Accuracy: 91.10%
Epoch 17/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.1574, Test Loss: 0.3159, Accuracy: 89.88%
Epoch 18/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.1421, Test Loss: 0.2899, Accuracy: 90.70%
Epoch 19/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.1220, Test Loss: 0.2747, Accuracy: 91.98%
Epoch 20/20, Hyperparameters: {'lr': 0.001, 'momentum': 0.9}, Train Loss: 0.1177, Test Loss: 0.2699, Accuracy: 91.80%
