Epoch 1/20, Evaluation Loss: 1.3127, Evaluation Accuracy: 67.82%
Epoch 2/20, Evaluation Loss: 0.7192, Evaluation Accuracy: 77.93%
Epoch 3/20, Evaluation Loss: 0.5448, Evaluation Accuracy: 82.36%
Epoch 4/20, Evaluation Loss: 0.4359, Evaluation Accuracy: 86.84%
Epoch 5/20, Evaluation Loss: 0.3860, Evaluation Accuracy: 88.28%
Epoch 6/20, Evaluation Loss: 0.3473, Evaluation Accuracy: 89.35%
Epoch 7/20, Evaluation Loss: 0.3264, Evaluation Accuracy: 89.47%
Epoch 8/20, Evaluation Loss: 0.3114, Evaluation Accuracy: 90.85%
Epoch 9/20, Evaluation Loss: 0.2720, Evaluation Accuracy: 91.57%
Epoch 10/20, Evaluation Loss: 0.2612, Evaluation Accuracy: 92.11%
Epoch 11/20, Evaluation Loss: 0.2626, Evaluation Accuracy: 92.17%
Epoch 12/20, Evaluation Loss: 0.2547, Evaluation Accuracy: 92.34%
Epoch 13/20, Evaluation Loss: 0.2543, Evaluation Accuracy: 92.34%
Epoch 14/20, Evaluation Loss: 0.2367, Evaluation Accuracy: 92.94%
Epoch 15/20, Evaluation Loss: 0.2337, Evaluation Accuracy: 92.88%
Epoch 16/20, Evaluation Loss: 0.2295, Evaluation Accuracy: 93.24%
Epoch 17/20, Evaluation Loss: 0.2408, Evaluation Accuracy: 92.28%
Epoch 18/20, Evaluation Loss: 0.2305, Evaluation Accuracy: 93.48%
Epoch 19/20, Evaluation Loss: 0.2217, Evaluation Accuracy: 93.72%
Epoch 20/20, Evaluation Loss: 0.2171, Evaluation Accuracy: 93.84%
